product_type,helpful,rating,title,review_text
books,3 of 3,4.0,A Good Start,Being aware myself that men talk about their seed when it would be more accurate to talk about their pollen I was intrigued to come across such an extensive theory based on this very mistaken metaphor.
books,9 of 13,4.0,Complete Dog book review,"My husband is a dog show judge and has been looking for this book. As always, Amazon has what I need.  This book is 2 yrs out of date, but this isn't Amazons' fault.  Overall, the dog standards have not changed, except AKC has added some new breeds that aren't listed.  Will be valuable with our breed (miniature Dachshunds)"
books,0 of 1,5.0,For all aspiring Christians looking for a new kick.,"Dick Staub does a FABULOUS job of tying in the old teachings of the Bible with the very popular Star Wars Saga!  This is an amazing book and it is very insightful.  If you are looking to change your life and be a better Christian, this book is for you!!!"
books,6 of 6,5.0,delicious surprises await you,"These recipes are fairly simple and steps are minimal for making really delectable vegan fare, from appetizers to desserts. Easy to present beautifully, they will  leave guests wanting more of everything.  Olive oil-drizzled bliss.  Partaking of this stuff will give any omnivore friends of yours second thoughts.."
books,4 of 8,5.0,Waiting for the DVD,I agree with the reviews already posted. This is the only Alice in Wonderland movie in my opinion. As children my sister and I would watch it all the time from a video taped from the television. Years later I saw it in a video store and had to buy it even though it wasn't on DVD. I still have my copies but am waiting patiently for them to be released on DVD
books,,4.0,Engulfing Read,"This was a great read and I think one of the first books Ive read by Nora Roberts(I cant remember if I read her several years ago). The book includes strong characterizations, lust, dysfunction,mystery into this book and I loved seeing the heroine develop to become her own hero in the end. Great read"
books,7 of 8,5.0,An upbeat viewpoint on small business in America,"It seems like all we hear in the news lately is about outsourcing, the stripping away of defined benefit and retirement plans, and that there are no further opportunities to be found in business unless you are one of the lucky few at the top of a multinational corporation. In the face of such constant bad news, this book is a breath of fresh air."
books,2 of 3,5.0,Flynn's Mitch Rapp is an American hero for our time,"In an era when some American citizens openly root for the nation's enemies, Vince Flynn's Mitch Rapp character is a refreshing throwback to another era where no American would openly criticize his nation during time of war. Before, yes: after, yes - but not during."
books,3 of 3,4.0,My first Nora and I was hooked,"Some may not consider this one of her best, indeed, it isn't listed as a fav anywhere, but it had enough Nora magic to introduce me to the woman and hook me into devouring everything I could there after."
books,7 of 7,5.0,Funny.  Sad.  Read It.,"It takes a lot for a book to make me laugh out loud -- not only did this one make me snort, it also squeezed my gut & made me want to cry."
books,6 of 8,5.0,Gasman NanoBook Important Contribution to the Literature and History of Nano,"As author of the first book on successful investing in nanotechnology, Nanotech Fortunes: Make Yours in the Boom; Winning Strategies, I can say that Nanomarkets.net's Lawrence Gasman has produced an exceptional contribution to the literature of nanotech, Nanotechnology: Applications and Markets. Everyone interested in exactly how nanotech is going to impact products, markets, industries and businesses must study this concise and worthwhile read. Gasman's intuitions, opinions and arguments are not only right on target but they are informed by a lively intelligence and decades of real-life experience and deeply thought analysis. Whether you are in the business or just looking to invest with a real understanding of what you're doing, you are going to love this book and thank the author as well."
books,2 of 5,5.0,THE book.,"If your are going to buy a single book on trading, this is it.  Go ahead and buy it! This is a scolarly book that explains the complex workings of successful trading in simple and clear terms.  Don't hessitate and get it it is worth i"
books,12 of 16,5.0,"A better world for the creative ahead, Reynolds knows why","After reading An Army of Davids, I thought back eight years earlier when I still subscribed to the Los Angeles Times and one of their Princelings of Political Correctness announced that hereafter the LA Times would apply affirmative action guidelines to the sources of articles. The article was such an unintended parody of political correctness that I rechecked to make sure that Rush Limbaugh had not written it.  How can these people get away with it?"
books,,5.0,great book for ideas,I bought the book to add to my collection of stained glass books. I like the shapes and forms she uses and have gotten a few ideas from it. Very nice
books,4 of 4,5.0,Should have been written 30 years ago,"Probably the most important book that a manager can read.  It demystifies the ""art"" of finance.  It brings finance's secret language back to simple English.  Great for techies who are part of the overhead."
books,3 of 4,5.0,"I've read about 20 other books, this is by far the best one.","After reading this book, I felt like I had a better grasp about foreclosures and the real estate market as a whole."
books,,4.0,Judged to be a great book.,"As judge & jury, I would highly recommend this book.  Patterson can't write a bad book, but this is one of his best"
books,,5.0,"Fantastic read, sure to bring tears to your eyes!","I have only read a few Nicholas Sparks books (The Notebook & The Wedding), so I was eagerly anticipating beginning The Guardian, which had been recommended by me. I absolutely love Sparks' style of writing, and he did not disappoint with The Guardian. From the very first chapter, I was captivated. I felt like I was right there with Julie and Singer during all that ensues throughout the book (I don't want to spoil anything!). I laughed, I cried - I think I went through every emotion by the time I finished this book. That, to me, is the mark of a great book! I definitely recommend this book - it's a quick read and a great story that will not disappoint"
books,0 of 1,5.0,Into the Storm: A Novel,Excellent storey. Suzanne Brockmann stays true to the contiuation of the navy seals. Haven't read a book yet by her I haven't enjoyed
books,0 of 1,5.0,Awesome,I could not put this book down.  VF keeps the story moving quickly and paints great mental pictures.  If you like Clancy you will love Flynn
books,2 of 4,5.0,Handicapping Classic,"Andrew Beyer is the godfather of speed figures in thoroughbred racing. In preparing to bet the Kentucky Derby and other races this year I read Andrew Beyer's fantastic book ""Beyer on Speed"" and Joe Cardello's book ""Speed to Spare"".  These two books fundamentally changed the way I handicap races. It is simply careless to handicap races without understanding Beyer Speed Ratings and use them to your advantage. This book explains the origins of the Beyer Speed figures and walks you through an understanding of how the speed figures are calculated and how they work. I used the information on ""Beyer on Speed"" and ""Speed to Spare"" this year (March, 2005) to hit a big trifecta at Santa Anita - without Beyer Speed ratings and the information they provide, I would have never made the bet I made."
books,1 of 6,1.0,Tiresome recap of an exhaustive list of life events,"President Clinton's autobiography reads as a near endless series of events rehashed from his diaries.  It frequently appears as though the brief, daily notes and events were simply written into complete sentences with some emotion or perspective added.  It does provide an extensive recap of President Clinton's life events, so if that's of interest you may want to check it out"
books,3 of 7,5.0,Inspiring!!,"From the moment I picked up this book and started reading it, I could not put it down! Literally. Thank goodness my toddler was still sleeping in the early morning hours, which allowed me to do so. Bill talks about how he was brought up and how is entreprenral mind was formed. It was a very interesting and inspiring read. If you are thinking about going into business for yourself, read this book. It confirms the fact that if you do not go for it, it will never happen. Bill took his dreams and ideas and turned them into reality."
books,10 of 18,2.0,Not if you are looking for recovery help...,"This book is more like a theoretical exploration of what promotes addictive behavior, and will be of no real help to you if you are trying to help (or are yourself) an addict. There is no exploration into what treatments will work or not work, and some of what he says doesn't really seem to make sense in a real-life situation. Overall, it's useless unless you are curious about what might (theoretically) cause addictive behavior"
books,0 of 3,5.0,Fast hilarious read.,"Loved this book.  Not only the wry observations of what happened but the touching, poignant love of her children.  Loved the quip about why do people think that not talking a lot when you're in small town is a virtue.  Zipped through it and laughed out loud"
books,7 of 59,5.0,How to Pick Pockets for Fun and Profit,How to Pick Pockets for Fun and Profit : A Magicians Guide to Pickpocket Magic taught me everything i needed to know about the skills of pickpockets
books,,5.0,Another Victory for Koontz,"I have yet to read a Dean Koontz tale that I dislike. He has such a flair for bringing me into the tale as though I am experiencing it myself. Once I start a Koontz novel I find it difficult to go to sleep until I am done. I enjoy them so much it seems like a guilty pleasure, but it's just a pleasure, no guilt involved"
books,7 of 21,5.0,Brilliant book,"In this book, the author merges her deep knowledge of the field of wireless communication with her passion of transmitting her knowledge to others.  The evident didactic skills of the author are put into service to explain in a clear, profound and accurate way not only the fundamentals of wireless communication systems, but also some of the most recent development in the field, such as MIMO, adaptive modulation, equalization, multicarrier and ad hoc networks, in such a way that the reader will soon find himself immersed in the excitement of this up-to-date knowledge. The book also includes the information theory point of view of both single user and multiuser wireless networks, which are usually omitted in other textbooks in the field.  Students pursuing a degree in electrical engineering will find in the first six chapters a comprehensive treatment of the fundamentals in the subject, saving a lot of time, as very few books treat the fundamentals in such a clear and, at the same time, deep way. Students pursuing a Ph.D. degree in the area will find an indispensable reference. For practicing engineers, this book will provide the design tools of modern wireless networks. This book will shortly become a classic. It is simply, an excellent job."
books,2 of 2,5.0,A Necessary Perspective,"As a professor management who is interested in corporations acting more responsibly, I have just begun to use this book in my senior strategic management course. Hollender is a thoughtful and insightful proponent of socially responsible business.  Each chapter covers a specific characteristics of SRB (accountability, transparency, sustainability, etc.)."
books,,4.0,"good, but not great...","well, imho, not as great as the other books in the allon series, but well worth the read!"
books,22 of 24,5.0,A Life Changing Book,"Not many people know that there was a 10 episode film series with the same title, and that there is a paper back study guide that compliments this book. I first read this book 22 years ago when I was trying to figure out why the world was going to hell in a handbasket. It answered a lot of my questions and made me ask more questions. I rate this as one of the 10 most important books I've read in my lifetime, and I'm getting to be an old lady now. I'm getting ready to read it again because I feel it has a new relevance for our time in light of the persecution of Christianity in the public arena. I also bring to your attention his book, A Christian Manifesto. If you seek true wisdom born of knowledge, this is your book"
books,0 of 1,5.0,gift,"This is the perfect gift for the comic book fan who has every comic book.  Also, looks great on a coffee table"
books,2 of 2,4.0,Adversity at Its Finest,"Overflowing with thrills and mysteries, a very long journey to treachery, three orphans, a villain and his cohorts; this is what the Penultimate Peril is all bout. This next-to-last book makes some of the mysteries from the previous volumes clear to the series' avid readers."
books,15 of 37,1.0,You will be a dummy if you depend on this book,"Sorry, I just cannot believe that the &quot;humorous&quot; and &quot;honest&quot; approaches recommended in this book will work. It all seems very idealistic, flaky and undignified. I value honesty (and humor too!) but there is also something to be said for modesty and decorum. I would find someone using these strategies very off-putting -- the words &quot;sense of entitlement&quot; come to mind. And I am not conservative. So what would a conservative employer think"
books,1 of 3,5.0,Understanding and Using English Grammar (Third Edition),"I have used this outstanding book with international students for several years, but it would be helpful if the Answer Key were available from Amazon."
