product_type,helpful,rating,title,review_text,sentiment
books,10 of 10,5.0,6 Stars and more really - wonderful cookbook and book,"This is wonderful! It is for fans of Laura Ingalls Wilder, and also for those who are interested in historic cooking - from prairie and colonial days which have their basis in so many of the cultures which settled America in the early days, and adapted for use there",1
books,3 of 5,5.0,wow,"This is a great compliment to the more project-based MAKE magazine, as it focuses a little more on the personalities of the ""makers."" Of course, it also describes (and shows, in beautiful photographs), their projects, but it's a great way to see into the personal side of the amateur engineers, bored brainiacs, and fringe-worthy souls who are the heart of the newest form of the DIY geek culture: creating incredible, real-world projects, from the mega (a home built submarine for 3) to the micro, (a diy bat detector), to the whimsical (a Lego blocks project that will solve the Rubik's Cube).",1
books,10 of 11,5.0,Indispensable resource,"This is a reader that covers the various theories of nationalism as well as varieties of nationalism itself. This makes it a largely indispensable supplement, handbook and reference work for anyone interested in nationalism. This is particularly true today as the scholarship on this social phenomenon continues to grow unabated, and since it is patently obvious that nationalism hardly seems about to disappear. The reader contains important extracts from the major works on nationalism by some of the most important early theorists such as Renan, Max Weber and Stalin (although the views of Marx and Engels themselves or Lord Acton and Friedrich Meinecke would have been welcome additions) and almost all of the most important contemporary scholars (Gellner, Anderson, Connor, A. Smith, etc.). The texts are well-selected and organized, and it really contributes to making a very complex subject and a daunting field of scholarship seem a little easier to grasp",1
books,5 of 5,4.0,Top notch SF,"I was surprised at some of the poor reviews given this book and have an idea that these stem from those picking up books from a list of Nebula Award winners. This book is not at all your typical SF story, indeed it feels much more like a mainstream story with some SF aspects than it does an SF story. I'm an avid reader of both science fiction as well as mainstream fiction, so this holds a good deal of appeal for me.",1
books,5 of 9,5.0,Must have Book,If you are into Cooking than this is the Book you must have.,1
books,2 of 5,2.0,Willy Loman This Guy Ain'y,"This play explores the same old turf as ""Death of a Salesman"", but it does so with much less satisfaction and much less character development.  Eddie is no Willy Loman, though, and the play suffers immediately from a lack of a central, driving force like Willy.  Parts of the play seem borrowed from Tennessee Williams, and they don't seem to work in this context.  There is some business about the romance of the Old World Italy versus the New World of Opportunity on the docks of New York, and it is the only topic that is at all explored well, if still unsatisfactorily.  Eddie's dreams are represented in his pretty niece, Catherine; and unlike Willy Loman's uncle, she is still an attainable dream. That makes Eddie's life seem all the more petty, in comparison to Willy's: he longs wearily not after what he could have had, but after what he can never have, as he is already married.  The death scene at the end of the play also seems like a forced, tacked on ending, and Alfieri's entire presence is a more or less unsuccessful stage gimmick.  There are better plays by Miller, and many better plays by others",0
books,,1.0,Not that funny,"I keep reading and listening to his books because everyone says how good they are, but I have never found this to be so.  He always strikes me as someone who potters around never really interacting with people who then goes home and writes about it.  He seems more at home studying statistics (which he includes everywhere) and drawing his own facile conclusions from these statistics.  I always imagine him stuck in his room reading his newspaper, surfing the net and smugly summing up his brief interactions with people in the real world.  All his travel books are equally awful as he never really interacts with anyone - just comments on them later.  Still lots of people think he is grea",0
books,5 of 38,1.0,Is This BOOK Made Of 100% American Products? Nope!,"Oh, yes - this is a very fine book... for me to poop on! ",0
books,5 of 6,4.0,"Are ""you"" in this book?","You, the reader, are the subject and the hero of Calvino's novel, an exercise in reader-response theory gone mad. Calvino's lively experiment begins by describing a reader (that is, ""you"") reading Calvino's novel and, after this opening, ""you"" settle in to read the novel that you were ""meant"" to be reading--a noir mystery with a cliffhanger at the end of the first chapter. ",1
books,13 of 26,2.0,Interesting subjects who deserve a better writer,"A book on the theme of having the courage to deepen family ties.  That's a good theme.  However, the author can't leave well enough alone.  He really goes after people without kids as though they all, regardless of their circumstances, remind him of his former self:  someone with too much cynicism and cowardice to raise a family even though that's obviously the ""only"" way to become a complete person.  ",0
books,40 of 107,2.0,A backlash wolf in sheeps clothing,"It would take a book to answer all that is wrong with Farrell's reasoning, but to make a few points:",0
