product_type,helpful,rating,title,review_text
dvd,2 of 4,5.0,BODY BAGS IS A GREAT TALES MOVIE!!!!!!,"Body Bags with John Carpenter is awesome it has some great scary tales in it like The Gas Station and The Eye!!!!!! If you like stuff like Creepshow then you will need to see this one,because you will love it then!!!!"
dvd,8 of 8,4.0,Solid ghost tale,"""The Changeling"" is more mystery than horror film, which is not what I had expected prior to viewing. Nonetheless, this is a good film and I would recommend it. George C. Scott plays John Russell, a classical music composer who loses his wife and daughter in an accident. In an effort to forget this tragedy, he leaves New York City for Seattle. Desiring seclusion in order to practice his compositions, he moves alone into a large, vacant house. It is here that someone, or some thing, begins to contact him. Russell, perhaps realizing he has nothing left to lose, attempts to determine the reason for this. To reveal what or who the Changeling is would be to reveal too much about the movie, so I won't do that here. Unlike some other haunted house films, the ending to this one is moderately satisfactory. The story is told with class, as one would hope for a movie with a classical music composer as it central character. There are no cheap scares, exploitive material such as nudity or gore, and scarcely any bad language. In fact, I'm not really certain why it was rated R and most definitely a re-rating would earn this a PG-13 today. The acting, score and direction are all first rate. I didn't find the movie very scary; however, the suspenseful moments were done well and were fairly effective. The DVD has no extras, though the picture and sound are good. This is worth at least one watch and the price is certainly right."
dvd,23 of 23,5.0,A very good Qigong beginner's introduction DVD,"This DVD lives up to its promises - it introduces you to the world of Qigong. I have personally practised some Qigong exercises before  - from some books - but after watching this DVD I realized that I was doing them somewhat wrong. I didn't see any of what I had been practising in this video, however, doing Qigong is like a poem (actually, it was a poem for ancient Chinese), like a moving meditation, it's soft and smooth, whereas I had a rigid and strict execution. This DVD presents two sets of exercises - sitting (on a bed, let's say) for elderly and weak people, and standing - for everyone else. There is a track presenting the history of Qigong, specifically this set, and detailed explanations of each exercise, including medical benefits (e.g. what internal organ you would be massaging by doing them). Granted, you need more information (e.g.on breathing - it is only briefly touched), but then again, a beginner could only get so much or else (s)he becomes scared of so many new things. Still, Dr. Yang has a book with the same title, I've ordered and received mine (but haven't started reading it yet), that should explain more things. The book and the video complement each other - the former has more information, but the latter shows you the execution. Get them both."
dvd,,2.0,Fatally Flawed,"Sure, this movie is a classic. But is it any good? Frankly, I found it to be tedious in the extreme."
dvd,,5.0,Great Music...Classic Music,Just get this concert and listen to it. That's it...nothing more. It's a 'must have.
dvd,1 of 1,5.0,Are we really liberated?,"Bunuel turns things upside down in this social critique which, surely, ranks as one of his most effective films. While this film drifts through the surreal world we would expect of Bunuel - the commentary it makes is indeed serious and quite thought provoking. If we, as viewers, are shocked or find humor in the scenes of this film we should stop and ask ourselves - Are we as liberated as we think we are? If you find using the toilet in front of your friends and going off to eat in private absurd - you are not the open minded person you think you are"
dvd,3 of 16,2.0,"Spalding, where are you??","The recent disappearance of Spalding Gray has made me realize what I don't like about this film: its narcissism.  It's Gray's defining characteristic.  After a while, despite Jonathan Demme's fabulous direction (he makes the  best of a limited repertoire) it just gets boring"
dvd,1 of 2,5.0,HOT AND SEXY VAMPIRE MOVIE!!!!!!!!,"Dracula 2000 is a well done vampire movie that delivers it shares of goth,sexness, and of course a great cast.... When a bunch of thieves go to London to rob a bank they end up finding a coffin and decide to take it with them.... While on flight to the US they soon discover that a vampire is in the coffin and now awaken  and now is in the city of New Orleans..... This movie has all and you should check this hot vampire movie today!!!!!"
dvd,1 of 1,5.0,Representing relationships...,"Jules and Jim takes its rightful place alongside the Antoine Doinel series as Truffaut's definitive contribution to the cultural dialogue about love and relationships.  With deft psychological insight and an epic narrative perspective, Jules and Jim documents the whims and passions of its characters while letting the long drama and trajectory of life voluptuously fill the space of the film.  "
dvd,3 of 9,1.0,Stick with Willy Wonka,"I could barely get through the...um...er...reimagination...of the childern's classic - while the set design and special FX are state of the art, as usual for a Tim Burton film, the actual movie is hard to watch. Why? Depp's ""performance"" is chock full of ticks and mannerisms, off-putting, flat, self-absorbed, and finally, one-note. Rather than the quirky fun of the original 1972 Gene Wilder version, Burton's film is more horror than fantasy, often casually cruel and sadistic to the point of being far from family fare.  While deliberate on Burton's part, that doesn't make the final product any more watchable. It's one grim, dismal, downward spiral slog. Not much holidday fun, huh? As with most of Burton's other big, expensive failures, he knows how to CREATE a convincing world, but has no clue how to POPULATE it with characters and situations we identify with and/or could care less about.  The final result is a film that's like a fragile, hermetically sealed curio on the shelf - nice to look at from afar, but hard to get attached to, much less involved with. What a waste of millions of studio $$$"
