product_type,helpful,rating,title,review_text,sentiment
dvd,,5.0,Excellent,Awesome! Bought for my husband for Valentine's Day!  Even our 8 year old son loved it.  Excellent condition,1
dvd,0 of 4,5.0,Mysterious symbols?,"Ok, I understand the male and female symbols used on the movie logo.",1
dvd,2 of 16,1.0,Primer,What looks like a good movie to watch quickly turns into disappointment. Whilst you expect some plot to come together (at least on first viewing) - it is strung together to confuse - even to frustrate the viewer.,0
dvd,3 of 7,1.0,A GREAT FILM RUINED,HELLO?????,0
dvd,,5.0,One of the best concert films.," This excellent DVD gives us a remarkable version of Martin Scorsese's film. It has been color corrected by Scorsese himself, and remastered for superior sound quality.",1
dvd,2 of 2,4.0,Warm and Sweet like a cup of hot chocolate,"This is a warm-hearted, sweet story based on the Cinderella fairy tale. Only we have Sam, a young girl who works at a diner once owned by her father and taken over by her wicked stepmother when he dies in an earthquake. Sam carries on a secret email/chat romance with the most popular boy in her high school, but she doesn't know the identity of her Prince Charming.",1
dvd,8 of 8,1.0,Shamefully Dissappointing DVD.,"The shows themselves are wonderful, but the people who put together this DVD set should be ashamed of this paltry effort! There are NO cast or staff interviews about the ending of such a wonderful series. NO commentaries. No English sub-titles.  NO John Spencer honorarium of any kind. They didn't even take the time to include the 1 hour re-showing of the original pilot they aired before the finale!  The only ""extras"" are two not-special-at-all special features dealing with the debate. This DVD set is definately NOT worth the money to buy it brand new.",0
dvd,3 of 3,5.0,2nd GIG vol1,"if you are a GHITS SAC fan this DVD is a must, ",1
dvd,6 of 9,5.0,It's MOOG... nothing else needs saying!,"If you are at all interested in synthesizers, their impact on the music world, and how the Moog synthesizer changed history, this is a 'must have'.",1
dvd,1 of 6,1.0,it's okay,"i bought this thinking that this would be fun and a decent workout, i tried it a few times but just couldnt get in to it. it go's a bit fast but i know i could get used to it, but they have very big steps and they lung into it and i think it would be better if they work up to it i kept finding myself rewinding it to do the step corretly i dont realy strive for perfection i just want to do it some what right. there are better ones out there than this, but i think i am going to try it again cuz it wasnt so bad that i am going to quit it",0
