product_type,helpful,rating,title,review_text
electronics,16 of 16,4.0,"Good product, but here are some warnings","All-in-all a fine product, rather than add to the marketing reviews, here are a couple of points not well communicated."
electronics,2 of 3,5.0,How to get it working again!,"True, this little guy freezes from time to time when you forget to dismount it properly (NOT creatives fault!). It's pretty easy to reformat if you people who say it's 'broken' used LINUX and not windows! Simple as that guys - no need to bother with with wasting your money on repair costs. Unbelievable."
electronics,3 of 4,4.0,Expensive!!! But a damn good stereo!,"Okay... so the price tag is a little hefty but this stereo unit is definately worthwhile. I decided to go with the Hi-Fi because it sounds great, it charges your Ipod and it also offers an AUDIO IN plug-in so you can hook it up to your computer and use it when watching your DVD's or playing video games. This is not available with the other competing units which provide an AUDIO OUT plug-in... this is stupid. Why would I want to add more speakers to another speaker? Anyways..."
electronics,3 of 3,5.0,HP Premium Plus Photo Paper - Excellent,"Although a bit more expensive than desired, HP Premium Plus Photo Paper gives very good results especially when using HP printers (I use HP photosmart7760). The special coating on the back to prevent sticking is also a very good innovation."
electronics,14 of 14,5.0,Just Super,I bought this 1GB card for my Palm Zire 31 Handheld mainly for storing and carrying around music (with the convenience of an organizer) for my rehearsals. The card works flawlessly and the write and read speed is absolutely amazing. PalmOne's documentation gives the impression that only PalmOne's cards will work on their PDAs and does not document that any other SD or MMC card would work. But I took a chance with this 1GB card and I saved big time as PalmOne's 512 MB card with way lower write speeds (not even specified by their specs) sells for $99. I got this card for $89.
electronics,13 of 13,5.0,Nearly perfect.,"I've used Lexar cards for quite a while, and they have always worked great. The SD cards (interchangeable with MMCs) are inherently fast (writing time to the card can slow your camera), are excellent misers of battery power and have a distinctive cost advantage over most other brands. You really cannot go wrong with Lexar"
electronics,2 of 2,4.0,It works.,"Everybody keeps complaining about the sensitivity of this radio.  I am not in the boonies, I am in the city and the tuner picked up all of the radio stations and tv stations that I would be interested in listening to during an ememergency.  Others have also complained about the fragile nature of it's construction.  I didn't buy it to use on a regular basis.  I bought it to be used when the electricity is out and I want to stay informed.  I hope I never need it, but I probably will and I expect it will serve it's purpose at that time"
electronics,,5.0,BCI-15 Ink Cartridge,High quality photo prints.  Can't tell the difference between my prints and processed print
electronics,2 of 2,5.0,Works very nice!,"This is a very nice microphone. It really improves the quality of the sound especially when you don't want to show your recorder, you just plug in the microphone, put the recorder in your bag and just let the microphone outside to do its job. It comes with a clip that you can use for example to put the recorder in your pocket and attach the microphone to your shirt"
electronics,1 of 20,2.0,do you ship in Italy?,i wont know il you ship two headset for motorola talkabau
electronics,3 of 4,5.0,"awesome, awesome, awesome",it has a powerful bass very comfortable in the ear and has a perfect cord length. i cannot complain with this at all. it is like buying one of the best at a cheap pric
electronics,,1.0,Wide Multi-Color Page Streaks  Render Printer USELESS.,Printer has had very light use and suddenly developed mostly magenta & cyan toner leaks. The excess toner is streaked and transfered to every page resulting in full length page striping. The print outs are absolutely useless for presentation and barely useable for drafts. HP denies there is a problem however I see that I am not the only one with this issue. Won't buy HP again. This is clearly a defective product design. There is no resolve. Your printer is now an expensive and rather large doorstop. 
electronics,,5.0,::Love::,"I normally don't write reviews for things, but since the previous reviews gave me a somewhat jaded view towards these headphones before I bought them (yeah, I bought them anyways) I decided my imput would be helpful."
electronics,1 of 1,5.0,Works with Dell Inspiron 5100,It was so easy to install and worked perfectly the first time I turned my computer on.  I'm going to get another card and upgrade to the full 1 Gb capacity of my laptop
electronics,,5.0,Transpod for the IPod,"I read a very favorable review of the Transpod in ""MacAddict"" (a 'zine for Macintosh users). My experience with the Transpod agrees with this review. I have found the Transpod works well. I strongly recommend it!"
electronics,1 of 1,5.0,Phone tools 4.0 made my cool phone even cooler,Well the first thing I did was make sure my phone was supported by the program(in my case V3c)Once I saw that it was I ordered it up and in 5 days it was in my mail box!!!I couldn't be happier with the ringtone maker!!!You can take any part of a song or wav file and make it into ringtone...NO MORE PAYING RINGSTER EVER!!!!!On top of it all the price is more than right because my local phone place is selling the same product for $30.Over all if your phone is supported GET THIS PRODUCT!!!
electronics,3 of 6,5.0,Don't listen to the hardcore gamer lol,I game heavily with this mouse.
electronics,1 of 1,4.0,Good for traffic control.,"I work a side job directing traffic near a busy Texas highway.  Without this, I had a hard time hearing the other officers on my Talkabout.  Using the earbud makes things MUCH easier and I can concentrate on the cars and not the radio."
electronics,,5.0,APC notebook power surge,This surge protector is really small and handy. . . it even fits the casing for the power supply in my notebook bag.  i take it with me everywhere i go and it has worked well for me.  it has given me a sense of security that my vaio is protected for electrical surges at all times
electronics,2 of 2,2.0,Low Pitch Hum Unbearable,"I have two major beefs with my unit, which I've had for about 7 months:"
electronics,,5.0,Great Keyboard!,This has been a great keyboard. It is silent and the keys have a firm feel when I press them. The keys' profiles are flatter than the Apple keyboards and that makes it easier to move from one key to the next.
electronics,,5.0,Not bad for a flash drive...,I needed some extra space on a flash and this really made my traveling a lot easier.
electronics,,1.0,D-Link is garbage,This piece of junk died after less than a year in service.  I have a Linksys access point that has been running for over 3 years now.  I'm on my way to get another one of those to replace this inferior D-Link product.  Do yourself a favor and spend your money elsewhere
electronics,14 of 14,4.0,"Great headphones, minor limitations","UPDATED - I've been looking forward to these headphones for quite a while. The sound of them is, in my opinion, great. Granted, I am not an Audiophile, but to me, the sound is very good. My main reason, for getting these is because I frequently wander about my apartment listening to audiobooks. I wanted a way to leave my iPod in one position and wander without worrying. These headphones are perfect for that. With a range approaching 30 feet (don't believe the published full range, you'll never be happy if you think you can reliably get 30 feet from the source) I can leave my iPod in the middle of my apartment and go anywhere in my apartment without issue. "
electronics,2 of 3,1.0,Avoid this product,I don't see why I need to download an application to remove the U3 utility. It's totally unneeded. Also the drive lasted a total of 2 months. In those 2 months I used it about 10 times. The slider also is sticky and becomes difficult retract and close. I would avoid it.
electronics,0 of 1,4.0,iriver t10,"I use this primarily for voice recording school lectures. The recording quality is better than the creative recorder I first bought.  It's not as easy to use as the creative. Online and telephone support is excellent. Battery life seems short, but I have nothing to compare it to.   I would definitely recommend this for voice recording"
electronics,1 of 1,5.0,Your gonna need one of these,"I just got an iPod the other day, and while I love it, it is rather fragile and needs protection. This case not only looks good, but it covers your entire iPod. This was the best $25.00 I could have spent on keeping my iPod safe"
electronics,,5.0,Good Gift,I got this stuff as a gift for a friend of mine. He seems to be happy using it. So I am giving this a 5 star
electronics,,5.0,These batteries are great!,I would certainly recommend these Sony rechargeable batteries! My boyfriend bought me a set with the charger shortly after purchasing my Canon PowerShot A620 (which I also love!!) and I am now back to buy an extra set b/c we are going on vacation. They last a long time and re-charge in no time at all.
electronics,,1.0,The Controller universally sucks,Problem one is you need to push the buttons hard.  The controller also wears out quickly.  The next thing is it won't hold a code for more than a few minutes.  I am constantly typing in 1002 for my Sony tv.  RCA sucks.  Directv shouldn't allow RCA to make products for them.  I have three of these pieces of junk
electronics,5 of 5,5.0,Awesome Cable,"First off, the cable is 6 feet long.  For some reason this isn't in the product description, so there it is.  Anyway, having said that, I can say with 100% certainty that this cable is every bit as good as my much, MUCH more expensive Monster Toslink cable.  I got this cable to replace the optical one because I'm switching soundcards on my computer and the new one doesn't have optical output.  Anyway, I tested them side by side and I couldn't tell a difference.  I'm already using Monster speaker cable which does make a HUGE difference over the junky cable that came with my Logitech Z-680's.  Anyway, I could tell no difference whatsoever switching between the two.  The only real difference is the price.  I paid more than ten times as much for the Monster Toslink cable.  So, if you're debating whether to go with this or something more expensive my reccomendation is to go with this cable.  It'll save you a lot of money and you'll get the exact same performance."
electronics,8 of 9,4.0,Ideazon Everquest II Keyset for Zboard Keyboard,"This is my 1st review, so let this alone tell you that this item is worth buying.  Now, I came from EQ1 to EQ2 like most people did, but between the years of eq1 and eq2 a lot in my life has changed.  For example, I no longer have endless hours to purge on online gaming."
electronics,,1.0,trouble from the start,"From the beginning I had connection issues with the hardware and software - my system hanging on me for no good reason.  On a couple of occasions I had to reformat the player, but found that even that was difficult to do (worked on WinXP but not on Win2k).  Maybe used it 10-15 times total over the past year because it's been so difficult."
electronics,3 of 3,2.0,Nice until it broke,"Used it for 2 weeks and then the on/off switch no longer turned the mouse on.  I had registered it with iogear and contacted them to complain.  They asked me to return it and then sent me a refurbished on that didn't work at all.  Seemed like a good mouse and the price was right, but 0 for 2 has made me give the Kensington version a try"
electronics,26 of 26,1.0,Be an educated consumer!  You don't have to spend a lot for *digital* cables,"You don't have to spend a fortune on expensive cables when you are dealing with digital signals.  Keep in mind that all digital interfaces have error correction built into them. Did you know the internal components of consumer electronics are connected with tin and nickel?  There's no gold inside!  So there's no need for oxygen-free, gold tipped, multi sheilded, super mega supreme cables.   If you don't believe me, buy this cable and a no-name cheapie.  Compare them for yourself -- you will see no difference."
electronics,3 of 4,2.0,My Amp bites the dust.!,I have to add to the reviews on the amps in these failing. I purchased my Promedia speaker system through Dell on 10/04. Recently the sound quit working. I finally got Dell to send out
electronics,4 of 4,2.0,Scratched my iPod,"I currently have the 60 GB video iPod, and at first this product was working great for me. I did try to run with it but my iPod was to big, and the band didn't support it much so it wobbled a lot. The cover is what I am particularly upset about. The cover scratched my iPod up pretty bad from continuously taking it out and putting it back in to charge or update my iPod. I know it is the cover that scratched it, because I always keep my iPod in the cover and I also keep it in the iSnug protective case (the one that is zipped up and has an extra netted compartment for the buds.)  I would not recommend this product to anyone, and I am currently looking for a new case to put my iPod in that has an opening at the bottom so I don't have to take my iPod out to charge it"
electronics,5 of 5,5.0,What everyone needs,The product did not require as much effort as others I have used before.  The radio runs for better then 20 mins. with just a half minute of cranking and the fine tune adjustment is a big help also.  The Grundig FR200 is perfect for the outdoors person and/or those who deal with power outages
electronics,,5.0,Excellent see throu !!,"My opinion on web cam got changed with this creative web cam. The picture clarity is excellent and the aduio quality is simply supurb. Making long line short, i canot imagine my chat (with family members  in INDIA from USA) without this webcam."
electronics,2 of 2,1.0,0 stars:  AVOID like the plague,"Would you play Russian Roulette?  No, of course not.  Then why would you do so with your media??  That's what you'll be doing if you waste your money on this ""media"".  The only worse ""media"" is hocked under the linkyo label"
electronics,1 of 3,5.0,Great Product!,I love this phone! One thing you have to decide before purchasing this is what you'll use it for. This is not a replacement for your cell phone. Look at it more as a cordless phone. 
electronics,,5.0,Works great,"I did my first install of this wireless desktop this past weekend and everything went smoothly.  I love that you can opt to use the existing PS/2 connections, leaving another USB port open."
electronics,4 of 4,1.0,Not a GREAT Mic,"This mic was great, for the short time it worked. I only had it for about 2 weeks or so before it quit working. I was glad I had only paid about $4 for it"
electronics,,2.0,disappointed,"this looked like it would be a great addition to my laptop, but they were a disappointment...the volume just wasnt' there for what I neede"
electronics,27 of 31,2.0,"Sounds great, CD player dies","Great appearance and sound, JVC has produced a nice sounding unit.  Speakers look as great as they sound, no problem handling bass at loud levels.  Tuner is very easy to use, USB input works flawlessly.  Now the bad news, the CD mechanism breaks down and is unable to read any CD, whether store bought or MP3 burned.  First unit died after three weeks, the replacement lasted five.  CD player mechanical design is unable to handle light use.  Will think twice about buying a JVC again.."
electronics,,5.0,Great!Excellent!,"This bag is fantastic,comfortable to carry, fits loads in,protects my laptop,doubles as hand luggage.No complaints at all. Best bag I've ever bought"
electronics,13 of 13,5.0,Great Scanner!!,"I just love this scanner. Not only does it work well for documents as well as slides and negatives, it has a very small footprint on the desk and looks so Slick!"
electronics,2 of 2,5.0,This item does not work with Mac OSX 10.4.X,"I bought the item noticing they had support for Mac 10.3+ which should include 10.4.8 since it is greater than 10.3 right ? :)  After having issues getting it to work on OSX, I called up tech support.  Sadly, it is not supported nor does it work with 10.4.X. "
electronics,4 of 7,5.0,Very Nice!!!!!,"The iPod photo Dock is a nice home base for charging your iPod, hooking your iPod to your computer, for connecting your iPod to your stereo or for hooking it to your TV to view Photo's. It is very convenient and easy to use; all you need is the right cable to connect it to your stereo (TV, computer-it especially comes in handy if your USB connection is in the back of your computer.), You can get Monster iTV Link cable that provides both S-video and audio. Its a nice place to set your iPod (and do all the above) when your home and I would recomend this product"
electronics,,5.0,Wonderful 'phones,No complaints. At all.
electronics,0 of 4,1.0,Poor and useless support. Does not record images,"I've made the biggest mistake of buying 6 of these cameras only to find out that the images does not get recorded at all. I called the technical support of D-Link and all they did was make me repeat the trouble 4 times and promise me to pass me to level 2 support and then they'd drop the line. If I call back, I had to go through the same routine all over again. DO NOT BUY THIS PRODUCT or you will be as sorry as I am now"
electronics,1 of 1,5.0,Wow - They Burn Great!,"I've gone through nearly half a deck of 50 in a couple of days so far, and they are flawless.  No coasters!  No pixelation or jumping footage!  Spend a bit more, but go for the Verbatim DVD+R"
electronics,2 of 2,5.0,Works great,"Good construction, right size (buttons are big enough to use) and sounds great.  Replaced a high-end office-type cordless and this phone is better than the last set (Siemens)."
electronics,2 of 2,4.0,Excellent GPS,"I bought the Garmin ETREX gps (yellow)and am very happy with it. In fact I went back to Amazon and bought two more, one for the wife and one for our son. It does everything it says it will do and more. Also very pleased with Amazon and the ordering,and handling. I have started to buy all my products through Amazon whan available"
electronics,1 of 2,1.0,As Advertised,Product was easy to set up and use. Loading the program was easy and without error. Map detail was above average and after setting a route I intentionaly turned at tye wrong places and each time the program corrected itself and gave me new directions to the original destination. Would recommend this GPS ta anyone
electronics,5 of 17,1.0,Big problems with Panasonic.com, It seems Panasonic has become like other Corporations in that the customer is treated like the enemy.  Panasonic.com doesn't return any emails or calls and even customer service has ignored all of my emails.  I sure hope the recorder doesn't break because there is no way I'd expect any help from Panasonic.  
electronics,4 of 4,5.0,get 'em NOW!!!,"These are great for road trips, T.V., and other stuff. whaen i was getting them i wanted to know how big the transmitter is. it's small. it comes with a plastic thing so the transmitter dosen't hang; wich is the only time when the quality is not so good. it also comes with a elastick/velcro band to keep it from hanging. the charger has a V spliter so you can charg the headphones & the transmitter at the same time. this all fits in a carrying pack that comes with it. at full charg it lasts the same as my ipod. the ears are not to big. Im a kid and they fit me. theses are aswome "
electronics,3 of 3,2.0,not so hot,I bought this unit from the Verizon store to pair with my Motorola E815. Sound quality wasn't too bad but there were some very annoying traits which caused me to return the product.
electronics,1 of 1,1.0,THis is such a bad product.,I just receive this radio today. Yet it is totally useless. I cant hear anything from this poor radio. It just keeps scaning and repeats over and over. It does not receive any station at all. It is even worse than my $3 mini radio bought in walgreen. What s bad radio. Avoid this item.
electronics,,5.0,Awesome!,These speakers pump!  They sound great and can be used for almost anything since they accept multiple input sources.  The subwoofer is HUGE though.  Make sure you have space for it
electronics,0 of 2,5.0,iHome clock radio,My son is very satisfied with his iHome clock radio for his ipod
electronics,2 of 2,5.0,I am very pleased with this mouse.,I have been using this mouse for around a week now and so far I love it.  I have found the precision is very good which makes it easy to navigate with.  The design is very comfortable and I can actually move the mouse easily without constantly hitting the 3rd and 4th buttons.  Overall I highly recommend this mouse
electronics,,2.0,Good player but  very poor construction,"My player had the same headphones jack problem that so many people here have had, which ended up rendering it useless (out of warranty).  "
electronics,23 of 23,5.0,Super Fast SD memory,This is the fastest SD memory I tried. 
electronics,0 of 10,5.0,Hey?,"Does any one know if you can have 3 hours of converted of movies,100 pictures,and 10-20 song all together.or like just 3 hours of converted of movies at one time.thats al"
electronics,1 of 4,1.0,"Map updates, customer service  HAHAHAHA","The maps are old, an customer service is clueless. The website is worthless also. The product works, but the old information constantly makes you travel out of the way before you get to your location. I for one will try another brand"
electronics,8 of 8,5.0,Great Product. Never Had Battery Probs ... Maybe because ....,"I read the directions before I began using it. I've had it for nearly three years now. 1) I don't use it with the screen up at max brightness; 2) When it's not connected to the cigarette lighter adapter, I disable the WA-AS setting (more than doubles the power consumption); 3) I avoid using the GPS feature for navigation when on battery power (only use it for spot locating a position) since the GPS really consumes lots of power; 4) I watch the on screen battery indicator for low charge and when it gets low guess what? I  turn it off and put it on the charger as soon as I have the chance."
electronics,5 of 5,5.0,FAST AND FINE!,"For the price, you can't find a better quality printer than this one.  Easy to use, easy to load, easy to change settings, easy to be satisfied with your purchase.  Highly recommended.  I have had excellent results both for photograph printing (large size, excellent resolution) and regular page printing"
electronics,,5.0,What else can I say but...,"What else can I say but ""it's excellent!!! I enjoy using it, traveling with it, using it to carry music and video's, and talking books, back and forth to work. The only thing it needs is a convienient way to hook it up to my car speaker system with out major surgery"
electronics,,5.0,very good,my compact flash card works just fine & good here very fast.
electronics,2 of 2,5.0,Love it,I really like my xt home kit. I never have to listen to crappy music again!
electronics,,4.0,Great Buy!,"We initially bought this for the baby's room, and have it in ours, while she is still small. We have found that it is a great product. The clock is automatic, as is the date which is a nice feature. We use the CD feature mostly at bedtime. We keep the volume on the CD pretty low, which unfortunately also controls the alarm as well. The blue light when it runs is not too bright - It actually serves as a nice night light. The nature sounds are very soothing, and we will probably use that feature more when she is older.  I wish that these were independent of eachother. Other than that, this has been a super product"
electronics,6 of 13,2.0,Not happy....,"I have used the FVS318 for about 4 years now. I was hit by lightening and blew out one router on my VPN. I bought a new one to replace it and found that the new V3 is not backward compatible with the older versions. I had to totally reconfigure the unit and purchase another one to replace the older unit that DID work. Netgear also has posted on their website that they will in no way pay or discount the purchase of a new router due to the lack of backward compatibility. I would suggest going away from this router and possibly going away from netgear. I have been a huge netgear fan in the past, but... I recently replaced my personal wireless router with a Linksys"
electronics,10 of 11,1.0,Terrible customer support,"About 6 months after I started using my SanDisk card in my Canon camera, I started to get ""memory error"" problems.  I reformatted the card in the camera and that got things working for a few more months.  Now, reformatting using the camera doesn't work.  "
electronics,24 of 24,5.0,Pinpoint precision,"This is a great GPS, probably the best I've ever used. I started with GPS in 1997 with the Garmin GPS 38, and three years later purchased an eTrex. I was satisfied with that, but when I heard about the added features of the 72, I went ahead and bought it to replace the eTrex. It is far more powerful than the eTrex and easier to use. The 72 makes excellent use of its dedicated zoom and menu keys. These alone make this unit quicker and easier to operate than some entry-level units. The display is of higher resolution which makes things like track lines more precise--a real problem on the eTrex, on which the track appeared as a thick black line that didn't show many meanders or fine movements. Many of the software features that the GPS 38 had, but the eTrex didn't, are included here, such as the ability to measure distance between waypoints, pan on the map page, and time-stamp marked points. The receiver in the 72 is very hot and sometimes gets you a fix within seconds. The software is apparently upgradeable and the receiver is WAAS-enabled, so it's ready for the next generation of navigation. Like most GPS units it's completely waterproof and it's worked for me under very unfavorable conditions. The third GPS I've owned and probably the last one I'll ever need to buy. Another job well done by Garmin"
electronics,2 of 2,4.0,great printer,affordable printer that prints a very good quality shot.  i have particularly enjoyed working with black and white cartridges.  a good buy indee
electronics,1 of 1,5.0,Nice to see better storage,"I have the previous version of this product with a fixed 24 MB of memory. I am very happy with it except for the storage. I think this is the same item only with an expandable memory. It is small, so you can use it on the street. Easily fist into your pocket. Mark your car when you park in a city that you are not familiar with and you don't have to worry about it again. Do your shopping and come back with the GPS. However, the screen is a little small to use in the car. It is usable, but I would still prefer a larger screen for the car. But all in all, I guess this is the right size both for hiking and driving."
electronics,18 of 18,4.0,has worked well for me,"This product works well for me.  I have three wired computers connected to it as well as my Netgear WG102 wireless access point.  Upstream from the router is my Netgear FR114P wired-only router and from that my Motorola SB5100 cable modem.  I've had this setup for 6 months now and no lockups or wierd reboots from any of the equipment.  After dealing with flakey networking problems for almost 3 years from various equipment, I now swear by Netgear ""blue box"" equipment.  (And I've had issues with Netgear consumer ""white plastic"" equipment, among other brands of consumer equipment.)"
