product_type,helpful,rating,title,review_text,sentiment
electronics,3 of 4,1.0,keep looking,"I had this 6 months (which is how long it takes to figure out how to use it!) and the backlight is no longer working. So I can't see the time, without a flashlight or lamp",0
electronics,8 of 8,2.0,Love affair gone sour,"I have owned this little hub for at least a year. I have an older PC which came without USB, so I added a PCI adapter. I soon realized that I needed more ports, and more convenience, than the two now located in the backplane of the PC on the floor.",0
electronics,2 of 2,5.0,Nothing beats OEM products. . .,"After ordering non-OEM inks from several different places on the web (and having some problems with them), I discovered that Amazon sold OEM at great prices.",1
electronics,,2.0,"All setup as described here, UNIT NOT STABLE.",                   ,0
electronics,1 of 1,1.0,Jamming Piece o' Junk!,I bought this machine based on the good reviews I found here. I have had it for one month and it does nothing but jam.  Now the two week return policy at the store has expired and I am left with a jamming piece o' junk.,0
electronics,1 of 6,1.0,Mouse? What Mouse,"Amazon does not ship to Post Office Boxes.  The mouse could ONLY be shipped to a post office box per Amazon shipping proticol.  Therefore, after TWO attempts to purchace this product from Amazon I had to buy elsewhere.  If you live where the United States Postal Service does not deliver the mail to your house, pass of this item if not Amazon.  I have considerable expierance buying mail order and online and this is the first time I have found a company setting rules that actually prevent the buyer from recieving the product",0
electronics,1 of 3,5.0,People complain too much,"Hey, don't listen to those other schmucks. So maybe there are a few of these that are exceptable, but the rest just complain too much. I love this thing! I got it for Christmas, and now for $20, you can't beat that. I use a standard charger for it in my car, so I never have to worry about batteries. It seems that the best way to get it to sound the best, is work with your mp3 player or whatever your using (equalizer). I have also used it on my portable DVD player in the car and it sounds awesome! For the price, I highly recommend this product",1
electronics,1 of 2,1.0,lousy phone,Surprisingly poor quality for a Uniden phone.  Volume is very low -- hard to hear caller.  Don't waste your money. ,0
electronics,2 of 2,2.0,Can't find the timer for the radio,I'd really like to know how I listen to the radio at night and have it shut off in an hour and then have the alarm go off when I need it. I thought that's what a radio was supposed to do,0
electronics,2 of 2,5.0,The Best!!!,"I've owned these Altec's for over three years now, and I have yet to ever coming close to replacing them - as a matter of fact, when facing the decision of buying another set of speakers for a new computer, I went ahead and still purchased these babies!",1
electronics,3 of 3,4.0,perfect headphones for urban dwellers who use mass transit,"I chose these by reading other reviews on Amazon.  I am pleased with them and recommend them. Good sound, light weight.  The best feature is that they do NOT leak sound yet you can still hear loud noises around you.  This is perfect for an ipod-using NYC subway rider.   Don't want to annoy others by leaking sound, but you have to be able to hear if there is exterior noise, at least enough to know to turn down the sound and find out what's going on.",1
electronics,2 of 3,1.0,I hate it,"I had a previous good experience with a Jabra headset. This one was recommended for my Panasonic cordless phone by Jabra. However, the sound quality is terrible. It lacks any kind of high frequency response, and so sounds very boomy and full of bass, making it almost impossible to use. It also needs a foam cover, since any kind of slight wind movement makes it extremely noisy. I contacted Jabra about this product, but received no response. Maybe it would work better with a different phone, but definitely NOT with my Panasonic",0
electronics,1 of 1,5.0,Expanded Memory for Motorola RAZR V3m for Verizon,"The SanDisk 1GB Micro SD Card arrived quickly with intact sturdy packaging.  I installed it in my Motorala RAZR V3m as expanded memory for my music library.  Be sure to remove the RAZR battery to clear the access slot for the Micro SD.  The V3m recognized the expanded memory without any problems.  I used Motorola Phone Tools to transfer my entire music library.  The program converts the mp3 file formats before transfer. The entire music library...a full 1GB...transferred reasonably quickly.  The V3m is slow to access ""My Music"" using menu function #3 under ""Get Tunes & Tones"".  Function #6 ""Manage Music"" accesses the library reasonably quickly and works well.  The new corded Motorola SYN1301B stereo earbuds work well in this configuration.  Sound quality is surprisingly good, but the large diameter earbuds are flat...not tapered... and do not seat very well in the ear canal.  The SanDisk 1GB MicroSD Card provides great value at a very reasonable price for full optimization of the V3m as cell phone with ""MP3"" player",1
electronics,6 of 7,5.0,Wish I'd bought this sooner!,"I'm not much of a techie.  But, I do have lots of documents and pictures that I can't bear to lose should my computer decide to konk out one day.  ",1
electronics,1 of 1,5.0,SanDisk 2 GB Ultra II Memory Stick Pro Duo,fast and reliable..well worth the mone,1
electronics,16 of 20,2.0,Did not perform as advertised,"This unit failed to provide reliable power to my new Toshiba Satellite A60 laptop. It cycled on and off every 3 seconds. It powered a 100 watt lamp okay, but wouldn't start a 250 watt heat lamp at all. Product spec sheet says it can supply 400 watt surge and 200 watts for 2 min., and is rated at 140 watts continuous. My laptop power supply is rated at 2A input at 100-240 VAC, and if it drew 2A constantly I agree that it would need 200 to 230 watts, which exceeds the continuous rating of this inverter. However, even at that power demand the inverter should run it for 1-2 min., but only manages 3 sec.  In addition, I doubt that the laptop power supply actually draws a full 2.0 amps continuously. I talked to Linksys support, and they suggested returning the unit for replacement or refund, so I did. It did not work for me. Maybe it would work for a laptop that only needs 100 watts, but I wouldn't recommend it for more than that",0
electronics,14 of 17,5.0,This is best CF card have ever owned! Won't regret!,"I previously owned the 1GB Lexar 40X CF card and thought that was the fastest a CF could get. I was completely wrong. This card is one fast sucker, and it can hold an enormous amount of images. In JPEG mode I am able to store over 1000 images. In RAW mode, which I'm converting to thanks to this large capacity card, I am able to hold 444 images all on my 20D!!! If your thinking of buying this card, don't hesitate. It is one awsome piece of equipment, and one heck of an investment!! ",1
electronics,1 of 1,4.0,Digital clock,The numbers on the clock are not bright enough to see in the day light I wish they were brighter and bigger,1
electronics,2 of 2,2.0,you get what you pay for,"subwoofer should not be called that: it's tiny, and distorts if the slightest bass is put through it. Not good for music, not good for gaming. Steer clear",0
electronics,2 of 2,5.0,A great porduct,The Microsoft optical wheel mouse is a great product. It is worth every penny of the purchase price. A great value! It is so much better than my old mouse with the ball in it. The optical wheel mouse is much more accurate too. The best purchase I ever made,1
electronics,1 of 2,1.0,Poor quality,"I found that these DVD-Rs did not work well in my system, were unreliable and slow.  I cannot recommend them",0
electronics,3 of 4,1.0,Item not delivered in reasonable time frame,I canceled the order of Velocity DVD-R disks since it took too long to deliver,0
electronics,5 of 6,1.0,Buzz in microphone,"Amazon quickly shipped this item to me and I was ready to rock 'n' roll -- until I plugged it in.  There was a distinct buzzing noise that both myself and the caller on the other end could hear.  The buzzing noise stopped when I hit mute, so the Plantronics rep said it was a microphone problem.  Amazon was very gracious about their return policy and I was quickly sent a new phone free of charge.  Well, the second phone does the same thing and I'm returning it to get a refund.  Maybe just my phone line?  Possibly.  But I've tried two phones now and have the same problem with both",0
electronics,,4.0,See above,Quite acceptable.  In line with prior purchases at outlet where PIXMA was sol,1
electronics,17 of 19,4.0,Cobra 4500,"The unit operates as good as any other GPS system available, plus it has a great big screen of 5 inches.  I am very impressed with the GPS, but the mount used to attach the unit to the window or dash is very poorly designed.  The unit falls off the window and from the dash, plus the power cord comes out too easily.  The unit deserves a five star rating, but because of the mounting system and power cord coming out too easily a four star rating was provided.",1
electronics,1 of 1,5.0,Great freaking mouse,This laser version tracks much better on odd surfaces compared to the Logitech V200 I have.,1
electronics,,1.0,Quit working after printing three pages successfully,Confusing light display (looking in the manual) told me there was a paper jam after printing three pages.  There is no jam. There is nothing stuck in the printer.  Sending it back now.  I do not have time to troubleshoot a new printer that fails to work properly after three pages.  (Maybe you won't have time either!)  I am very tech savvy and have checked the manual.  The device simply is defective.  ,0
electronics,,5.0,HP No. 56 Black Ink Cartridge (C6656AN),No complaints - I'm pleased with the quality and price,1
electronics,10 of 14,5.0,Love satellite radio,"I got this for hubby and me over the summer.   We used it for our trip to Rehoboth beach and we loved every minute of it.   WE have a tape deck in the car and used it w/ a cassette adaptor.  We had not problems whatsoever, in fact it sounds much better thru the cassette adaptor than over the fm transmitter.   ",1
electronics,,5.0,best price,"you can never go wrong with this paper. I always buy it here, the price in stores is outrageous",1
electronics,1 of 3,4.0,Slingbox first and second impressions.,"The idea is excellent, the execution is flawed.  What is not made clear at the time of purchase is that you will need a bridge or gaming adapter as well as a high speed internet connection at home.  The adapter should be built into the box. ",1
electronics,0 of 2,1.0,"cord is so short, uncomfotable to try and use.","I am not using this Microphone, the cord from the back of my computer barely reaches. Uncomfortable to lean so far forward",0
electronics,6 of 6,4.0,awesome speakers!,"Again, Creative Labs has combined all you need into one package: line in jack, usb port, fm antenna, and even a jack for a sub-woofer! for a small portable speaker, this system gets pretty loud and clear. The stereo effect button works great, the design is very stylish and the remote is a nice finishing touch. now for the cons;like most reviewers,i too, have to say the bass is lacking a bit, and the stand has a bit of trouble holding the speakers up due to small rubber feet that doesnt grip very well. and the last thing is the speakers itself doesnt have any grill or guard on it and it looks like it could be damaged easily, but these are minor things i can overlook and all in all for the price, this speaker system is very good.    ",1
electronics,,1.0,Piece 'O' Crap!!!!!,"I bought this so called ""stereo"" system at a Big Lot's Store for about $40.00. I figured since they were selling it there it must be a good deal, and it looked very cool too. It worked for about a month before it started skipping and remote was wigging out. It never sounded any better than one of those old plastic 45 record players. It looked good in my daughters bedroom but it lookes and sounds much better in the dumpster. I can't believe this company can get away with selling this worthless crap. I will never buy anything from them again",0
electronics,3 of 3,5.0,I love them,These ear buds are great for people with small ears.  I've tried several and these are by far the best.  It comes with 3 sizes of buds and the smallest work best for me,1
