product_type,helpful,rating,title,review_text
kitchen & housewares,4 of 4,4.0,"Very BIG, but very useful","My only beef with these mugs is that they're so big. I own the smaller Fiestaware mugs too, and I complained about those being too small, but seriously - I wish there were a middle ground. Though I'd take 'too big' over too small any day. You can have a big cuppa tea or coffee or soup with these things. An excellent multitasker, I've even used mine to store cups of broth in the freezer. These definitely need some sort of tight-fitting lid developed for them for better storage in the fridge or freezer"
kitchen & housewares,2 of 13,1.0,TERRIBLE PRODUCT,"This product is far more limited with regard to use than first thought!  When I received mine, it had missing parts making it useless.  The construction is not as sturdy and solid as many others like it, but the biggest strike against it is the lack of versatility in cooking"
kitchen & housewares,4 of 4,5.0,"George Foreman GRV660 8-in1 Toaster Oven/Broiler/Rotisserie, Black","We use our Toaster Oven on a daily basis.  We have used the Rotisserie, baked and toasted in it.  It's also great for warming up leftovers.  This oven keeps our kitchen cool since we don't have to depend on our oven right now.  It's also easy clean-up.  We love it and would highly recommend to others. "
kitchen & housewares,1 of 1,4.0,Hits the spot!,"The SpotBot works very well, albeit, not always on the first go. Depending on the severity of the stain, two or three cycles might be necessary."
kitchen & housewares,4 of 4,5.0,WORKS GREAT IF YOU KNOW HOW TO USE IT,"This jar sealer is a necessity if you have a Foodsaver!  Much cheaper than using those expensive canisters and it keeps your food fresh!  There's nothing better than opening a jar and hearing the whoosh of air going in!  Lets you know it's fresh!  For all of those reviewers who had problems with it sealing, I have a tip that should eliminate those sealing problems.  When you seal the jar put TWO mason lids on top, one on top of the other.  Then seal the jar.  The top lid should pop right off and the bottom lid will be vacuumed tight and secure! (If the top lid doesn't come off right away, just give it a few hours and it will come loose.)  Not sure why it works this way, but it does!  For those jars that you seal for longer than a week I would recommend checking the seal every once and a while.  I have had a jar lose it's vacuum a time a two. BUT a great majority of the time it remains sealed.  Highly recommend"
kitchen & housewares,6 of 10,1.0,Not right item,Knife holder designed for the Ronco Knife set only. It is a poor fit for my knives.
kitchen & housewares,,2.0,bakes too hot,Every loaf we've made with this machine has come out over baked.  It just seems to bake at too high a temp
kitchen & housewares,4 of 4,5.0,Appreciate Quality ,"If you appreciate quality silicone this is the set for you.  The last customer commented on the softness of the spatula - pure virgin silicone is soft.  They must be used to cheap product.  The soft tip is perfect for cake batter and icing, mixing your favorite dip, or stirring your soup on the stove.  The overall design is classic and the red matches my KitchenAid stand mixer.    The hollow handles on the tools fit perfectly into my hand.  There are holes on the end if you have a European design kitchen for easy storing.  There are more pieces in the set then one really needs (great value) and I just love the canister.  What more can I say - I did not return this product"
kitchen & housewares,3 of 3,4.0,great product with touch of german engineering quality,"I got a costco version of this product, DX-8600, which is only 1500 watts, but the features are identical.  The iron heated up in 30 seconds, the steam burst was powerful, and all the controls were quite self-explanatory.  The INOX soleplate is installed with precision, and the water inlet cover is quite durable.  I have another Black and Decker D2020, and in comparison the D2020's soleplate edges are crooked, and the water inlet cover is quite brittle, and the D2020's soleplate is smaller than the DX-8600's.  Consumer Reports rated the D2020 and D2030 much higher than any Rowenta, but I will stay with this DX-8600 for a while"
kitchen & housewares,1 of 1,1.0,Not at all what I expected,"I purchased a set of sheets from Amazon and they were amazing (much lower thread count) so I thought I'd try a higher thread count and after some reviews, went with these sheets.  Right out of the box, they were rough; after washed they were rough and stiff."
