,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,product_type,helpful,rating,title,review_text,sentiment
0,1522,1565,335,kitchen & housewares,2 of 2,1.0,"nice design, cheap product","The unique design of this dinnerware line is lost in the low quality earthenware body.  This low fired clay body breaks easily, is bulky to handle and is just plain disappointing.  Before you buy, beware.  What is the dinnerware made of?  If the dinnerware is not high fire stoneware, porcelain or a china clay body, forget it.  If you plan to use it then you are wasting your money.  Someone should be ashamed",0
1,1149,1321,322,kitchen & housewares,1 of 3,5.0,vacu vin concerto,"product works as described, keeping red and white wines for longer than their normal corked shelf life.  case could be a bit more substantial with a higher cosmetic appeal",1
2,1050,1927,1852,kitchen & housewares,0 of 1,1.0,Some breakage may occur during shipment.,This sushi set is really nice. Unfortunately Amazon doesn't know how to ship ceramic properly.,0
3,1193,681,640,kitchen & housewares,3 of 3,2.0,"It's a ""dribbler""....","I liked the mug's look, feel, & size. Then I took a drink of java from this mug... I never could get a lip lock on this mug. The rim is very thin & very wide. It would always spill a couple of drops on my shirt. Nissan mugs have what I call a ""lip ledge"" that prevents the ""dribble"" effect to which the Bodum is prone. Nissan mugs also have a much smaller diameter rim which also makes drinking from them less hazardous to my white shirts",0
4,918,1455,1385,kitchen & housewares,5 of 5,5.0,Great for real Tea lovers !,"Great invention!   I drink mostly loose teas, gave up coffee some time ago.   Because of work and being ""Mom"", I spend a lot of time in my car.  I have tried several travel presses and most of them don't trap all of the leaves under the press, especially leaves that unroll as they steep.  This is the most practical travel mug that I've ever seen and the storage compartment is absolutely great for carrying extra loose tea for those all day meetings.  I ordered one for my desk and one for those long car trips",1
5,1651,94,989,kitchen & housewares,6 of 7,1.0,Nonstick Coating Flakes Off,"I REALLY loved this baking sheet when I first got it, so I was supremely disappointed when the nonstick coating began flaking off, essentially rendering it unusable. I may have gotten a bad batch or something. The product has a lifetime warantee and I do intend to send it back in, but wanted to let folks know about my experience",0
6,1024,1384,389,kitchen & housewares,15 of 15,1.0,negative on Nordic cake keeper,"I put a fairly warm pound cake on the bottom of the cake keeper---apparently too warm. Cracks developed from opposite edges and met in the middle,creating a separation and thereby rendering the keeper useless",0
7,1197,1595,1168,kitchen & housewares,8 of 10,1.0,Chips the knife edge!,"This sharpener seemed to work well, but that was before I noticed it was putting chips in the edge of the knife",0
8,269,85,631,kitchen & housewares,,1.0,snooze you lose,"Took what I thought would be a nice set of sheets to my place in Costa Rica and have slept in wrinkles ever since. Hard to maintain, color is not vivid and am overall disappointed with this 600 thread count sheet set.",0
9,217,511,1853,kitchen & housewares,2 of 2,5.0,Perfect for singles or couples,"This is a great little machine for college students and people with apartments.  Though I wouldn't recomend it for a family (get a bigger version), it was perfect for me and it's quick and easy.  A great buy and very much exceeded my expectations.  I love it",1
10,352,1459,1138,kitchen & housewares,,5.0,Egg timer for the cooking impaired.,"As a person who could set boiling water on fire, I can truely state that this hard boiled egg timer has helped me be able to boil an egg.  Prior to this I never knew if the egg was done and usually I either over cooked them, or worse, under cooked them.  Now they come out perfect everytime.  HIGHLY RECOMMEND",1
11,1717,780,501,kitchen & housewares,1 of 1,4.0,THEY ARE VERY BIG,"They are very big, the spoons are very uncomfortable to use, they should have been smaller. and a better grip",1
